Comprimento	Intensity
254.71	1425.39
254.93	1425.39
255.14	1472.49
255.36	1415.15
255.57	1521.64
255.79	1439.72
256.00	1476.59
256.22	1513.45
256.43	1538.02
256.64	1529.83
256.86	1562.60
257.07	1456.11
257.29	1406.95
257.50	1333.23
257.72	1392.62
257.93	1341.42
258.15	1490.92
258.36	1376.24
258.57	1546.22
258.79	1474.54
259.00	1513.45
259.22	1456.11
259.43	1417.19
259.65	1480.68
259.86	1433.58
260.08	1439.72
260.29	1652.71
260.50	1470.44
260.72	1767.40
260.93	1464.30
261.15	1439.72
261.36	1531.88
261.58	1476.59
261.79	1468.39
262.00	1425.39
262.22	1540.07
262.43	1474.54
262.65	1400.81
262.86	1513.45
263.07	1439.72
263.29	1523.69
263.50	1527.78
263.72	1488.87
263.93	1427.43
264.15	1488.87
264.36	1382.38
264.57	1505.26
264.79	1529.83
265.00	1464.30
265.22	1540.07
265.43	1492.97
265.64	1439.72
265.86	1341.42
266.07	1374.19
266.29	1521.64
266.50	1409.00
266.71	1546.22
266.93	1507.30
267.14	1497.07
267.36	1505.26
267.57	1482.73
267.78	1464.30
268.00	1531.88
268.21	1548.26
268.43	1497.07
268.64	1456.11
268.85	1402.86
269.07	1376.24
269.28	1497.07
269.50	1366.00
269.71	1464.30
269.92	1521.64
270.14	1523.69
270.35	1456.11
270.56	1488.87
270.78	1472.49
270.99	1433.58
271.21	1441.77
271.42	1488.87
271.63	1480.68
271.85	1474.54
272.06	1447.91
272.27	1439.72
272.49	1488.87
272.70	1439.72
272.92	1554.41
273.13	1425.39
273.34	1480.68
273.56	1417.19
273.77	1464.30
273.98	1488.87
274.20	1501.16
274.41	1449.96
274.63	1456.11
274.84	1343.47
275.05	1460.20
275.27	1445.87
275.48	1529.83
275.69	1431.53
275.91	1439.72
276.12	1509.35
276.33	1476.59
276.55	1497.07
276.76	1433.58
276.97	1572.84
277.19	1419.24
277.40	1423.34
277.61	1507.30
277.83	1505.26
278.04	1415.15
278.26	1472.49
278.47	1458.15
278.68	1576.94
278.90	1415.15
279.11	1398.76
279.32	1572.84
279.54	1562.60
279.75	1529.83
279.96	1515.50
280.18	1527.78
280.39	1538.02
280.60	1433.58
280.82	1529.83
281.03	1431.53
281.24	1554.41
281.46	1415.15
281.67	1449.96
281.88	1384.43
282.10	1476.59
282.31	1490.92
282.52	1538.02
282.74	1378.28
282.95	1406.95
283.16	1415.15
283.37	1425.39
283.59	1409.00
283.80	1480.68
284.01	1570.79
284.23	1394.67
284.44	1488.87
284.65	1613.80
284.87	1464.30
285.08	1474.54
285.29	1538.02
285.51	1513.45
285.72	1384.43
285.93	1464.30
286.15	1411.05
286.36	1411.05
286.57	1531.88
286.78	1394.67
287.00	1398.76
287.21	1472.49
287.42	1472.49
287.64	1423.34
287.85	1546.22
288.06	1488.87
288.28	1497.07
288.49	1349.61
288.70	1474.54
288.91	1464.30
289.13	1570.79
289.34	1548.26
289.55	1413.10
289.77	1449.96
289.98	1499.11
290.19	1605.61
290.40	1415.15
290.62	1546.22
290.83	1449.96
291.04	1423.34
291.26	1384.43
291.47	1441.77
291.68	1589.22
291.89	1415.15
292.11	1554.41
292.32	1439.72
292.53	1523.69
292.74	1435.63
292.96	1406.95
293.17	1406.95
293.38	1466.35
293.60	1562.60
293.81	1366.00
294.02	1456.11
294.23	1497.07
294.45	1542.12
294.66	1466.35
294.87	1554.41
295.08	1398.76
295.30	1523.69
295.51	1488.87
295.72	1521.64
295.93	1554.41
296.15	1476.59
296.36	1529.83
296.57	1548.26
296.78	1570.79
297.00	1490.92
297.21	1597.42
297.42	1636.33
297.63	1521.64
297.85	1562.60
298.06	1517.54
298.27	1583.08
298.48	1466.35
298.70	1480.68
298.91	1611.75
299.12	1447.91
299.33	1488.87
299.55	1425.39
299.76	1406.95
299.97	1505.26
300.18	1447.91
300.40	1409.00
300.61	1482.73
300.82	1441.77
301.03	1449.96
301.24	1439.72
301.46	1427.43
301.67	1443.82
301.88	1402.86
302.09	1554.41
302.31	1486.83
302.52	1558.50
302.73	1718.25
302.94	1558.50
303.15	1515.50
303.37	1507.30
303.58	1443.82
303.79	1480.68
304.00	1556.46
304.22	1419.24
304.43	1570.79
304.64	1497.07
304.85	1452.01
305.06	1499.11
305.28	1454.06
305.49	1525.74
305.70	1531.88
305.91	1439.72
306.12	1578.98
306.34	1382.38
306.55	1497.07
306.76	1546.22
306.97	1572.84
307.18	1431.53
307.40	1505.26
307.61	1513.45
307.82	1499.11
308.03	1589.22
308.24	1531.88
308.46	1458.15
308.67	1521.64
308.88	1570.79
309.09	1656.81
309.30	1562.60
309.52	1529.83
309.73	1578.98
309.94	1417.19
310.15	1480.68
310.36	1613.80
310.57	1490.92
310.79	1607.66
311.00	1490.92
311.21	1447.91
311.42	1619.94
311.63	1617.90
311.85	1513.45
312.06	1708.01
312.27	1877.99
312.48	2176.99
312.69	2512.86
312.90	3110.86
313.12	3545.03
313.33	4003.78
313.54	4192.19
313.75	3891.14
313.96	3684.30
314.17	2996.18
314.39	2443.23
314.60	2054.11
314.81	1824.74
315.02	1513.45
315.23	1564.65
315.44	1566.70
315.65	1583.08
315.87	1488.87
316.08	1497.07
316.29	1443.82
316.50	1464.30
316.71	1513.45
316.92	1513.45
317.14	1433.58
317.35	1509.35
317.56	1529.83
317.77	1570.79
317.98	1468.39
318.19	1525.74
318.40	1505.26
318.62	1591.27
318.83	1472.49
319.04	1570.79
319.25	1447.91
319.46	1574.89
319.67	1464.30
319.88	1497.07
320.09	1507.30
320.31	1538.02
320.52	1447.91
320.73	1488.87
320.94	1443.82
321.15	1464.30
321.36	1490.92
321.57	1560.55
321.78	1517.54
322.00	1480.68
322.21	1452.01
322.42	1433.58
322.63	1564.65
322.84	1447.91
323.05	1439.72
323.26	1423.34
323.47	1531.88
323.69	1515.50
323.90	1443.82
324.11	1398.76
324.32	1472.49
324.53	1449.96
324.74	1392.62
324.95	1540.07
325.16	1439.72
325.37	1402.86
325.59	1392.62
325.80	1458.15
326.01	1400.81
326.22	1513.45
326.43	1531.88
326.64	1595.37
326.85	1472.49
327.06	1517.54
327.27	1472.49
327.48	1521.64
327.69	1578.98
327.91	1460.20
328.12	1452.01
328.33	1411.05
328.54	1476.59
328.75	1488.87
328.96	1533.93
329.17	1464.30
329.38	1480.68
329.59	1513.45
329.80	1826.79
330.01	1564.65
330.23	1464.30
330.44	1521.64
330.65	1464.30
330.86	1484.78
331.07	1509.35
331.28	1523.69
331.49	1417.19
331.70	1464.30
331.91	1357.80
332.12	1464.30
332.33	1505.26
332.54	1564.65
332.75	1570.79
332.96	1425.39
333.17	1447.91
333.39	1464.30
333.60	1431.53
333.81	1578.98
334.02	1482.73
334.23	1701.86
334.44	1769.44
334.65	1802.21
334.86	1818.60
335.07	1824.74
335.28	1685.48
335.49	1712.10
335.70	1540.07
335.91	1488.87
336.12	1497.07
336.33	1611.75
336.54	1515.50
336.75	1468.39
336.96	1488.87
337.17	1488.87
337.39	1384.43
337.60	1533.93
337.81	1564.65
338.02	1441.77
338.23	1497.07
338.44	1423.34
338.65	1466.35
338.86	1497.07
339.07	1482.73
339.28	1538.02
339.49	1564.65
339.70	1538.02
339.91	1488.87
340.12	1529.83
340.33	1456.11
340.54	1466.35
340.75	1509.35
340.96	1411.05
341.17	1480.68
341.38	1480.68
341.59	1554.41
341.80	1591.27
342.01	1439.72
342.22	1406.95
342.43	1523.69
342.64	1431.53
342.85	1472.49
343.06	1546.22
343.27	1384.43
343.48	1490.92
343.69	1542.12
343.90	1423.34
344.11	1447.91
344.32	1505.26
344.53	1513.45
344.74	1554.41
344.95	1439.72
345.16	1431.53
345.37	1458.15
345.58	1402.86
345.79	1464.30
346.00	1488.87
346.21	1452.01
346.42	1452.01
346.63	1531.88
346.84	1488.87
347.05	1449.96
347.26	1488.87
347.47	1435.63
347.68	1476.59
347.89	1441.77
348.10	1515.50
348.31	1554.41
348.52	1427.43
348.73	1466.35
348.94	1458.15
349.15	1585.13
349.36	1497.07
349.57	1419.24
349.78	1492.97
349.99	1419.24
350.20	1523.69
350.41	1415.15
350.62	1411.05
350.83	1482.73
351.04	1460.20
351.25	1490.92
351.46	1464.30
351.67	1394.67
351.88	1398.76
352.09	1476.59
352.30	1529.83
352.50	1468.39
352.71	1497.07
352.92	1497.07
353.13	1458.15
353.34	1447.91
353.55	1445.87
353.76	1456.11
353.97	1538.02
354.18	1447.91
354.39	1533.93
354.60	1554.41
354.81	1546.22
355.02	1490.92
355.23	1515.50
355.44	1392.62
355.65	1480.68
355.86	1546.22
356.07	1499.11
356.28	1546.22
356.48	1550.31
356.69	1464.30
356.90	1458.15
357.11	1431.53
357.32	1490.92
357.53	1531.88
357.74	1521.64
357.95	1570.79
358.16	1476.59
358.37	1464.30
358.58	1523.69
358.79	1464.30
359.00	1554.41
359.21	1538.02
359.41	1587.18
359.62	1628.14
359.83	1505.26
360.04	1392.62
360.25	1550.31
360.46	1599.46
360.67	1488.87
360.88	1456.11
361.09	1578.98
361.30	1501.16
361.51	1554.41
361.72	1550.31
361.92	1554.41
362.13	1480.68
362.34	1554.41
362.55	1501.16
362.76	1515.50
362.97	1632.23
363.18	1572.84
363.39	1599.46
363.60	1578.98
363.81	1587.18
364.01	1701.86
364.22	1910.75
364.43	2529.24
364.64	4372.41
364.85	7526.29
365.06	11624.27
365.27	14573.35
365.48	16242.44
365.69	16660.23
365.89	15218.46
366.10	12715.84
366.31	10106.73
366.52	7905.16
366.73	5855.14
366.94	4571.07
367.15	3405.77
367.36	2742.23
367.57	2332.64
367.77	2090.98
367.98	1873.89
368.19	1720.29
368.40	1662.95
368.61	1603.56
368.82	1497.07
369.03	1513.45
369.23	1660.90
369.44	1513.45
369.65	1488.87
369.86	1611.75
370.07	1513.45
370.28	1556.46
370.49	1542.12
370.70	1554.41
370.90	1523.69
371.11	1497.07
371.32	1464.30
371.53	1490.92
371.74	1433.58
371.95	1538.02
372.16	1449.96
372.36	1492.97
372.57	1478.63
372.78	1488.87
372.99	1423.34
373.20	1398.76
373.41	1431.53
373.61	1550.31
373.82	1517.54
374.03	1464.30
374.24	1497.07
374.45	1564.65
374.66	1550.31
374.86	1564.65
375.07	1490.92
375.28	1546.22
375.49	1492.97
375.70	1490.92
375.91	1484.78
376.11	1472.49
376.32	1529.83
376.53	1468.39
376.74	1495.02
376.95	1857.51
377.16	1542.12
377.36	1521.64
377.57	1652.71
377.78	1474.54
377.99	1515.50
378.20	1488.87
378.40	1562.60
378.61	1513.45
378.82	1527.78
379.03	1505.26
379.24	1605.61
379.45	1431.53
379.65	1366.00
379.86	1482.73
380.07	1435.63
380.28	1456.11
380.49	1505.26
380.69	1671.14
380.90	1640.42
381.11	1488.87
381.32	1480.68
381.53	1587.18
381.73	1533.93
381.94	1482.73
382.15	1550.31
382.36	1472.49
382.57	1531.88
382.77	1433.58
382.98	1476.59
383.19	1468.39
383.40	1460.20
383.60	1597.42
383.81	1517.54
384.02	1480.68
384.23	1488.87
384.44	1447.91
384.64	1466.35
384.85	1558.50
385.06	1558.50
385.27	1435.63
385.48	1447.91
385.68	1472.49
385.89	1402.86
386.10	1513.45
386.31	1417.19
386.51	1480.68
386.72	1398.76
386.93	1507.30
387.14	1546.22
387.34	1517.54
387.55	1449.96
387.76	1521.64
387.97	1468.39
388.17	1480.68
388.38	1505.26
388.59	1505.26
388.80	1441.77
389.01	1521.64
389.21	1529.83
389.42	1562.60
389.63	1505.26
389.84	1386.47
390.04	1488.87
390.25	1556.46
390.46	1531.88
390.67	1515.50
390.87	1411.05
391.08	1513.45
391.29	1521.64
391.49	1603.56
391.70	1456.11
391.91	1484.78
392.12	1472.49
392.32	1400.81
392.53	1544.17
392.74	1497.07
392.95	1441.77
393.15	1562.60
393.36	1474.54
393.57	1515.50
393.78	1480.68
393.98	1517.54
394.19	1497.07
394.40	1624.04
394.60	1495.02
394.81	1578.98
395.02	1406.95
395.23	1538.02
395.43	1556.46
395.64	1589.22
395.85	1419.24
396.06	1540.07
396.26	1566.70
396.47	1527.78
396.68	1425.39
396.88	1546.22
397.09	1447.91
397.30	1558.50
397.50	1484.78
397.71	1509.35
397.92	1566.70
398.13	1538.02
398.33	1431.53
398.54	1562.60
398.75	1419.24
398.95	1619.94
399.16	1599.46
399.37	1464.30
399.57	1554.41
399.78	1538.02
399.99	1550.31
400.20	1660.90
400.40	1390.57
400.61	1464.30
400.82	1456.11
401.02	1474.54
401.23	1548.26
401.44	1513.45
401.64	1564.65
401.85	1591.27
402.06	1548.26
402.26	1630.18
402.47	1521.64
402.68	1644.52
402.88	1466.35
403.09	1562.60
403.30	1542.12
403.50	1538.02
403.71	1644.52
403.92	1646.57
404.12	1959.91
404.33	3151.82
404.54	4593.59
404.74	5810.09
404.95	6803.35
405.16	7202.71
405.36	6735.77
405.57	5986.21
405.78	5052.34
405.98	4020.16
406.19	3389.39
406.40	2826.20
406.60	2275.29
406.81	1832.93
407.02	1722.34
407.22	1599.46
407.43	1636.33
407.64	1753.06
407.84	1775.59
408.05	1875.94
408.26	1869.80
408.46	1869.80
408.67	1939.43
408.87	1726.44
409.08	1654.76
409.29	1753.06
409.49	1521.64
409.70	1587.18
409.91	1595.37
410.11	1546.22
410.32	1529.83
410.53	1398.76
410.73	1388.52
410.94	1556.46
411.14	1447.91
411.35	1603.56
411.56	1497.07
411.76	1570.79
411.97	1515.50
412.18	1538.02
412.38	1349.61
412.59	1468.39
412.79	1443.82
413.00	1484.78
413.21	1499.11
413.41	1505.26
413.62	1460.20
413.82	1521.64
414.03	1562.60
414.24	1574.89
414.44	1366.00
414.65	1492.97
414.86	1441.77
415.06	1607.66
415.27	1554.41
415.47	1578.98
415.68	1607.66
415.89	1652.71
416.09	1681.38
416.30	1669.09
416.50	1679.33
416.71	1751.01
416.92	1693.67
417.12	1644.52
417.33	1548.26
417.53	1490.92
417.74	1509.35
417.94	1587.18
418.15	1613.80
418.36	1513.45
418.56	1419.24
418.77	1587.18
418.97	1644.52
419.18	1638.38
419.39	1540.07
419.59	1597.42
419.80	1646.57
420.00	1644.52
420.21	1677.29
420.41	1841.12
420.62	1794.02
420.83	1669.09
421.03	1701.86
421.24	1693.67
421.44	1628.14
421.65	1587.18
421.85	1644.52
422.06	1525.74
422.27	1587.18
422.47	1513.45
422.68	1560.55
422.88	1523.69
423.09	1460.20
423.29	1529.83
423.50	1521.64
423.70	1576.94
423.91	1572.84
424.12	1472.49
424.32	1546.22
424.53	1497.07
424.73	1488.87
424.94	1460.20
425.14	1464.30
425.35	1589.22
425.55	1554.41
425.76	1597.42
425.96	1572.84
426.17	1636.33
426.37	1642.47
426.58	1591.27
426.79	1632.23
426.99	1703.91
427.20	1687.53
427.40	1644.52
427.61	1665.00
427.81	1630.18
428.02	1603.56
428.22	1568.74
428.43	1581.03
428.63	1447.91
428.84	1566.70
429.04	1505.26
429.25	1513.45
429.45	1531.88
429.66	1529.83
429.86	1505.26
430.07	1546.22
430.27	1587.18
430.48	1636.33
430.68	1538.02
430.89	1591.27
431.09	1497.07
431.30	1566.70
431.50	1560.55
431.71	1556.46
431.91	1497.07
432.12	1546.22
432.32	1505.26
432.53	1513.45
432.73	1515.50
432.94	1497.07
433.14	1591.27
433.35	1542.12
433.55	1624.04
433.76	1529.83
433.96	1660.90
434.17	1761.25
434.37	1701.86
434.58	1775.59
434.78	1865.70
434.99	2037.73
435.19	2734.04
435.40	5027.76
435.60	9328.50
435.81	13498.16
436.01	16668.42
436.22	19246.81
436.42	17905.39
436.63	15709.97
436.83	13444.91
437.04	11196.25
437.24	8902.52
437.45	6963.09
437.65	5169.07
437.86	3899.33
438.06	2785.24
438.26	2201.57
438.47	1873.89
438.67	1685.48
438.88	1701.86
439.08	1597.42
439.29	1630.18
439.49	1554.41
439.70	1605.61
439.90	1554.41
440.11	1644.52
440.31	1570.79
440.52	1540.07
440.72	1562.60
440.92	1492.97
441.13	1515.50
441.33	1531.88
441.54	1578.98
441.74	1415.15
441.95	1538.02
442.15	1597.42
442.36	1642.47
442.56	1499.11
442.76	1456.11
442.97	1472.49
443.17	1521.64
443.38	1544.17
443.58	1529.83
443.79	1497.07
443.99	1533.93
444.19	1587.18
444.40	1464.30
444.60	1474.54
444.81	1472.49
445.01	1501.16
445.22	1409.00
445.42	1521.64
445.62	1505.26
445.83	1464.30
446.03	1505.26
446.24	1513.45
446.44	1521.64
446.64	1409.00
446.85	1540.07
447.05	1521.64
447.26	1433.58
447.46	1513.45
447.67	1431.53
447.87	1507.30
448.07	1556.46
448.28	1460.20
448.48	1472.49
448.69	1542.12
448.89	1449.96
449.09	1443.82
449.30	1472.49
449.50	1400.81
449.71	1478.63
449.91	1449.96
450.11	1443.82
450.32	1513.45
450.52	1390.57
450.72	1497.07
450.93	1589.22
451.13	1513.45
451.34	1513.45
451.54	1529.83
451.74	1507.30
451.95	1562.60
452.15	1449.96
452.36	1488.87
452.56	1488.87
452.76	1509.35
452.97	1447.91
453.17	1501.16
453.37	1431.53
453.58	1392.62
453.78	1490.92
453.98	1492.97
454.19	1546.22
454.39	1431.53
454.60	1411.05
454.80	1570.79
455.00	1605.61
455.21	1406.95
455.41	1529.83
455.61	1542.12
455.82	1361.90
456.02	1417.19
456.22	1480.68
456.43	1484.78
456.63	1548.26
456.84	1452.01
457.04	1591.27
457.24	1464.30
457.45	1460.20
457.65	1525.74
457.85	1505.26
458.06	1423.34
458.26	1480.68
458.46	1490.92
458.67	1523.69
458.87	1597.42
459.07	1439.72
459.28	1542.12
459.48	1452.01
459.68	1497.07
459.89	1400.81
460.09	1499.11
460.29	1509.35
460.50	1447.91
460.70	1505.26
