Comprimento	Intensity
254.71	1558.50
254.93	1480.68
255.14	1505.26
255.36	1566.70
255.57	1542.12
255.79	1476.59
256.00	1505.26
256.22	1513.45
256.43	1554.41
256.64	1554.41
256.86	1556.46
257.07	1460.20
257.29	1531.88
257.50	1476.59
257.72	1474.54
257.93	1521.64
258.15	1607.66
258.36	1490.92
258.57	1529.83
258.79	1566.70
259.00	1587.18
259.22	1497.07
259.43	1497.07
259.65	1542.12
259.86	1513.45
260.08	1472.49
260.29	1726.44
260.50	1466.35
260.72	1964.00
260.93	1439.72
261.15	1464.30
261.36	1464.30
261.58	1548.26
261.79	1509.35
262.00	1538.02
262.22	1665.00
262.43	1513.45
262.65	1466.35
262.86	1564.65
263.07	1595.37
263.29	1605.61
263.50	1521.64
263.72	1546.22
263.93	1542.12
264.15	1538.02
264.36	1406.95
264.57	1490.92
264.79	1554.41
265.00	1615.85
265.22	1499.11
265.43	1515.50
265.64	1497.07
265.86	1497.07
266.07	1499.11
266.29	1521.64
266.50	1452.01
266.71	1554.41
266.93	1521.64
267.14	1540.07
267.36	1562.60
267.57	1548.26
267.78	1497.07
268.00	1538.02
268.21	1595.37
268.43	1538.02
268.64	1513.45
268.85	1441.77
269.07	1488.87
269.28	1570.79
269.50	1441.77
269.71	1587.18
269.92	1447.91
270.14	1492.97
270.35	1390.57
270.56	1558.50
270.78	1546.22
270.99	1538.02
271.21	1476.59
271.42	1581.03
271.63	1581.03
271.85	1538.02
272.06	1456.11
272.27	1505.26
272.49	1591.27
272.70	1556.46
272.92	1595.37
273.13	1546.22
273.34	1599.46
273.56	1488.87
273.77	1538.02
273.98	1464.30
274.20	1529.83
274.41	1521.64
274.63	1490.92
274.84	1484.78
275.05	1505.26
275.27	1507.30
275.48	1540.07
275.69	1488.87
275.91	1464.30
276.12	1505.26
276.33	1458.15
276.55	1564.65
276.76	1554.41
276.97	1652.71
277.19	1474.54
277.40	1484.78
277.61	1546.22
277.83	1505.26
278.04	1525.74
278.26	1492.97
278.47	1544.17
278.68	1675.24
278.90	1529.83
279.11	1507.30
279.32	1513.45
279.54	1581.03
279.75	1521.64
279.96	1548.26
280.18	1611.75
280.39	1611.75
280.60	1480.68
280.82	1621.99
281.03	1529.83
281.24	1587.18
281.46	1595.37
281.67	1578.98
281.88	1505.26
282.10	1562.60
282.31	1505.26
282.52	1531.88
282.74	1406.95
282.95	1591.27
283.16	1505.26
283.37	1497.07
283.59	1484.78
283.80	1523.69
284.01	1675.24
284.23	1507.30
284.44	1515.50
284.65	1621.99
284.87	1507.30
285.08	1581.03
285.29	1525.74
285.51	1538.02
285.72	1564.65
285.93	1591.27
286.15	1589.22
286.36	1431.53
286.57	1531.88
286.78	1523.69
287.00	1507.30
287.21	1538.02
287.42	1515.50
287.64	1515.50
287.85	1587.18
288.06	1564.65
288.28	1488.87
288.49	1464.30
288.70	1472.49
288.91	1480.68
289.13	1710.05
289.34	1554.41
289.55	1460.20
289.77	1507.30
289.98	1587.18
290.19	1556.46
290.40	1431.53
290.62	1466.35
290.83	1464.30
291.04	1511.40
291.26	1480.68
291.47	1529.83
291.68	1480.68
291.89	1447.91
292.11	1673.19
292.32	1472.49
292.53	1689.57
292.74	1558.50
292.96	1431.53
293.17	1505.26
293.38	1554.41
293.60	1578.98
293.81	1521.64
294.02	1447.91
294.23	1558.50
294.45	1587.18
294.66	1517.54
294.87	1660.90
295.08	1480.68
295.30	1660.90
295.51	1505.26
295.72	1656.81
295.93	1523.69
296.15	1611.75
296.36	1632.23
296.57	1619.94
296.78	1578.98
297.00	1474.54
297.21	1515.50
297.42	1548.26
297.63	1507.30
297.85	1578.98
298.06	1517.54
298.27	1558.50
298.48	1490.92
298.70	1515.50
298.91	1710.05
299.12	1460.20
299.33	1523.69
299.55	1460.20
299.76	1480.68
299.97	1531.88
300.18	1566.70
300.40	1449.96
300.61	1443.82
300.82	1578.98
301.03	1515.50
301.24	1482.73
301.46	1488.87
301.67	1480.68
301.88	1474.54
302.09	1507.30
302.31	1490.92
302.52	1566.70
302.73	1595.37
302.94	1535.98
303.15	1458.15
303.37	1449.96
303.58	1447.91
303.79	1499.11
304.00	1597.42
304.22	1497.07
304.43	1538.02
304.64	1505.26
304.85	1538.02
305.06	1554.41
305.28	1521.64
305.49	1603.56
305.70	1562.60
305.91	1482.73
306.12	1574.89
306.34	1492.97
306.55	1521.64
306.76	1552.36
306.97	1599.46
307.18	1513.45
307.40	1490.92
307.61	1525.74
307.82	1488.87
308.03	1517.54
308.24	1558.50
308.46	1513.45
308.67	1464.30
308.88	1529.83
309.09	1613.80
309.30	1554.41
309.52	1474.54
309.73	1597.42
309.94	1398.76
310.15	1515.50
310.36	1529.83
310.57	1476.59
310.79	1517.54
311.00	1507.30
311.21	1488.87
311.42	1562.60
311.63	1556.46
311.85	1458.15
312.06	1476.59
312.27	1538.02
312.48	1562.60
312.69	1482.73
312.90	1595.37
313.12	1499.11
313.33	1525.74
313.54	1607.66
313.75	1499.11
313.96	1554.41
314.17	1464.30
314.39	1456.11
314.60	1529.83
314.81	1554.41
315.02	1476.59
315.23	1497.07
315.44	1519.59
315.65	1562.60
315.87	1488.87
316.08	1538.02
316.29	1509.35
316.50	1480.68
316.71	1578.98
316.92	1474.54
317.14	1429.48
317.35	1556.46
317.56	1495.02
317.77	1578.98
317.98	1513.45
318.19	1529.83
318.40	1443.82
318.62	1636.33
318.83	1531.88
319.04	1628.14
319.25	1546.22
319.46	1646.57
319.67	1490.92
319.88	1578.98
320.09	1538.02
320.31	1535.98
320.52	1581.03
320.73	1499.11
320.94	1484.78
321.15	1433.58
321.36	1515.50
321.57	1488.87
321.78	1466.35
322.00	1525.74
322.21	1570.79
322.42	1452.01
322.63	1578.98
322.84	1480.68
323.05	1529.83
323.26	1456.11
323.47	1499.11
323.69	1464.30
323.90	1505.26
324.11	1402.86
324.32	1542.12
324.53	1521.64
324.74	1509.35
324.95	1566.70
325.16	1542.12
325.37	1538.02
325.59	1427.43
325.80	1513.45
326.01	1501.16
326.22	1581.03
326.43	1531.88
326.64	1554.41
326.85	1517.54
327.06	1507.30
327.27	1513.45
327.48	1576.94
327.69	1646.57
327.91	1513.45
328.12	1562.60
328.33	1515.50
328.54	1482.73
328.75	1562.60
328.96	1519.59
329.17	1449.96
329.38	1587.18
329.59	1538.02
329.80	1873.89
330.01	1630.18
330.23	1603.56
330.44	1572.84
330.65	1521.64
330.86	1540.07
331.07	1542.12
331.28	1562.60
331.49	1513.45
331.70	1480.68
331.91	1464.30
332.12	1480.68
332.33	1499.11
332.54	1595.37
332.75	1564.65
332.96	1480.68
333.17	1480.68
333.39	1562.60
333.60	1587.18
333.81	1488.87
334.02	1525.74
334.23	1497.07
334.44	1449.96
334.65	1513.45
334.86	1566.70
335.07	1533.93
335.28	1488.87
335.49	1599.46
335.70	1513.45
335.91	1472.49
336.12	1507.30
336.33	1673.19
336.54	1525.74
336.75	1529.83
336.96	1499.11
337.17	1529.83
337.39	1464.30
337.60	1595.37
337.81	1621.99
338.02	1570.79
338.23	1482.73
338.44	1456.11
338.65	1521.64
338.86	1505.26
339.07	1628.14
339.28	1482.73
339.49	1603.56
339.70	1505.26
339.91	1521.64
340.12	1531.88
340.33	1542.12
340.54	1490.92
340.75	1572.84
340.96	1554.41
341.17	1538.02
341.38	1525.74
341.59	1628.14
341.80	1558.50
342.01	1464.30
342.22	1525.74
342.43	1497.07
342.64	1505.26
342.85	1599.46
343.06	1513.45
343.27	1521.64
343.48	1554.41
343.69	1439.72
343.90	1439.72
344.11	1529.83
344.32	1492.97
344.53	1505.26
344.74	1490.92
344.95	1447.91
345.16	1611.75
345.37	1513.45
345.58	1595.37
345.79	1556.46
346.00	1597.42
346.21	1482.73
346.42	1497.07
346.63	1529.83
346.84	1554.41
347.05	1538.02
347.26	1392.62
347.47	1546.22
347.68	1529.83
347.89	1495.02
348.10	1480.68
348.31	1554.41
348.52	1464.30
348.73	1554.41
348.94	1525.74
349.15	1687.53
349.36	1452.01
349.57	1386.47
349.78	1523.69
349.99	1538.02
350.20	1548.26
350.41	1497.07
350.62	1439.72
350.83	1564.65
351.04	1497.07
351.25	1470.44
351.46	1521.64
351.67	1482.73
351.88	1390.57
352.09	1535.98
352.30	1546.22
352.50	1570.79
352.71	1503.21
352.92	1480.68
353.13	1581.03
353.34	1476.59
353.55	1546.22
353.76	1419.24
353.97	1562.60
354.18	1546.22
354.39	1581.03
354.60	1644.52
354.81	1513.45
355.02	1517.54
355.23	1578.98
355.44	1456.11
355.65	1466.35
355.86	1554.41
356.07	1546.22
356.28	1499.11
356.48	1554.41
356.69	1513.45
356.90	1521.64
357.11	1546.22
357.32	1513.45
357.53	1538.02
357.74	1570.79
357.95	1546.22
358.16	1497.07
358.37	1509.35
358.58	1540.07
358.79	1456.11
359.00	1558.50
359.21	1433.58
359.41	1578.98
359.62	1587.18
359.83	1558.50
360.04	1546.22
360.25	1554.41
360.46	1546.22
360.67	1482.73
360.88	1497.07
361.09	1556.46
361.30	1460.20
361.51	1564.65
361.72	1495.02
361.92	1636.33
362.13	1441.77
362.34	1482.73
362.55	1591.27
362.76	1433.58
362.97	1550.31
363.18	1540.07
363.39	1523.69
363.60	1538.02
363.81	1546.22
364.01	1611.75
364.22	1538.02
