Comprimento	Intensity
254.71	1441.77
254.93	1441.77
255.14	1488.87
255.36	1521.64
255.57	1497.07
255.79	1466.35
256.00	1517.54
256.22	1513.45
256.43	1546.22
256.64	1636.33
256.86	1607.66
257.07	1480.68
257.29	1458.15
257.50	1411.05
257.72	1550.31
257.93	1521.64
258.15	1570.79
258.36	1396.71
258.57	1490.92
258.79	1533.93
259.00	1480.68
259.22	1480.68
259.43	1415.15
259.65	1550.31
259.86	1472.49
260.08	1398.76
260.29	1671.14
260.50	1468.39
260.72	1857.51
260.93	1449.96
261.15	1507.30
261.36	1472.49
261.58	1464.30
261.79	1482.73
262.00	1558.50
262.22	1636.33
262.43	1562.60
262.65	1490.92
262.86	1546.22
263.07	1546.22
263.29	1562.60
263.50	1497.07
263.72	1542.12
263.93	1517.54
264.15	1480.68
264.36	1417.19
264.57	1433.58
264.79	1619.94
265.00	1443.82
265.22	1464.30
265.43	1546.22
265.64	1472.49
265.86	1390.57
266.07	1476.59
266.29	1460.20
266.50	1419.24
266.71	1597.42
266.93	1474.54
267.14	1517.54
267.36	1538.02
267.57	1472.49
267.78	1480.68
268.00	1566.70
268.21	1570.79
268.43	1513.45
268.64	1474.54
268.85	1456.11
269.07	1497.07
269.28	1550.31
269.50	1431.53
269.71	1449.96
269.92	1482.73
270.14	1603.56
270.35	1439.72
270.56	1538.02
270.78	1488.87
270.99	1548.26
271.21	1554.41
271.42	1476.59
271.63	1521.64
271.85	1505.26
272.06	1505.26
272.27	1507.30
272.49	1523.69
272.70	1538.02
272.92	1501.16
273.13	1492.97
273.34	1564.65
273.56	1423.34
273.77	1615.85
273.98	1546.22
274.20	1550.31
274.41	1447.91
274.63	1509.35
274.84	1409.00
275.05	1490.92
275.27	1480.68
275.48	1578.98
275.69	1546.22
275.91	1488.87
276.12	1540.07
276.33	1562.60
276.55	1464.30
276.76	1480.68
276.97	1605.61
277.19	1523.69
277.40	1419.24
277.61	1472.49
277.83	1546.22
278.04	1441.77
278.26	1531.88
278.47	1558.50
278.68	1574.89
278.90	1513.45
279.11	1456.11
279.32	1531.88
279.54	1570.79
279.75	1523.69
279.96	1513.45
280.18	1570.79
280.39	1619.94
280.60	1550.31
280.82	1603.56
281.03	1433.58
281.24	1660.90
281.46	1578.98
281.67	1507.30
281.88	1497.07
282.10	1497.07
282.31	1488.87
282.52	1476.59
282.74	1447.91
282.95	1521.64
283.16	1554.41
283.37	1521.64
283.59	1449.96
283.80	1507.30
284.01	1578.98
284.23	1406.95
284.44	1636.33
284.65	1689.57
284.87	1423.34
285.08	1460.20
285.29	1531.88
285.51	1581.03
285.72	1488.87
285.93	1578.98
286.15	1581.03
286.36	1497.07
286.57	1523.69
286.78	1497.07
287.00	1497.07
287.21	1497.07
287.42	1443.82
287.64	1488.87
287.85	1538.02
288.06	1497.07
288.28	1505.26
288.49	1488.87
288.70	1513.45
288.91	1476.59
289.13	1595.37
289.34	1570.79
289.55	1423.34
289.77	1447.91
289.98	1521.64
290.19	1548.26
290.40	1439.72
290.62	1499.11
290.83	1431.53
291.04	1464.30
291.26	1417.19
291.47	1531.88
291.68	1482.73
291.89	1480.68
292.11	1595.37
292.32	1570.79
292.53	1619.94
292.74	1554.41
292.96	1439.72
293.17	1581.03
293.38	1546.22
293.60	1542.12
293.81	1505.26
294.02	1333.23
294.23	1419.24
294.45	1525.74
294.66	1554.41
294.87	1521.64
295.08	1398.76
295.30	1556.46
295.51	1513.45
295.72	1636.33
295.93	1511.40
296.15	1546.22
296.36	1482.73
296.57	1529.83
296.78	1523.69
297.00	1474.54
297.21	1464.30
297.42	1570.79
297.63	1497.07
297.85	1562.60
298.06	1552.36
298.27	1439.72
298.48	1529.83
298.70	1546.22
298.91	1701.86
299.12	1464.30
299.33	1509.35
299.55	1466.35
299.76	1439.72
299.97	1497.07
300.18	1425.39
300.40	1417.19
300.61	1464.30
300.82	1443.82
301.03	1470.44
301.24	1425.39
301.46	1472.49
301.67	1488.87
301.88	1513.45
302.09	1460.20
302.31	1447.91
302.52	1505.26
302.73	1570.79
302.94	1464.30
303.15	1482.73
303.37	1488.87
303.58	1431.53
303.79	1562.60
304.00	1505.26
304.22	1523.69
304.43	1636.33
304.64	1570.79
304.85	1447.91
305.06	1589.22
305.28	1554.41
305.49	1595.37
305.70	1490.92
305.91	1406.95
306.12	1554.41
306.34	1574.89
306.55	1495.02
306.76	1513.45
306.97	1669.09
307.18	1476.59
307.40	1472.49
307.61	1482.73
307.82	1533.93
308.03	1538.02
308.24	1482.73
308.46	1488.87
308.67	1488.87
308.88	1497.07
309.09	1570.79
309.30	1546.22
309.52	1507.30
309.73	1538.02
309.94	1406.95
310.15	1425.39
310.36	1501.16
310.57	1505.26
310.79	1497.07
311.00	1562.60
311.21	1382.38
311.42	1513.45
311.63	1546.22
311.85	1468.39
312.06	1492.97
312.27	1507.30
312.48	1540.07
312.69	1398.76
312.90	1591.27
313.12	1523.69
313.33	1499.11
313.54	1554.41
313.75	1406.95
313.96	1556.46
