Comprimento	Intensity
223.49	1441.77
223.71	1456.11
223.93	1466.35
224.14	1533.93
224.36	1574.89
224.57	1497.07
224.79	1402.86
225.01	1415.15
225.22	1474.54
225.44	1400.81
225.65	1439.72
225.87	1490.92
226.09	1425.39
226.30	1570.79
226.52	1474.54
226.73	1433.58
226.95	1535.98
227.17	1464.30
227.38	1454.06
227.60	1521.64
227.81	1400.81
228.03	1351.66
228.24	1628.14
228.46	1490.92
228.68	1447.91
228.89	1490.92
229.11	1447.91
229.32	1564.65
229.54	1423.34
229.75	1525.74
229.97	1419.24
230.19	1480.68
230.40	1443.82
230.62	1361.90
230.83	1423.34
231.05	1398.76
231.26	1382.38
231.48	1398.76
231.70	1556.46
231.91	1419.24
232.13	1361.90
232.34	1497.07
232.56	1472.49
232.77	1499.11
232.99	1499.11
233.21	1718.25
233.42	1458.15
233.64	1480.68
233.85	1431.53
234.07	1406.95
234.28	1484.78
234.50	1490.92
234.71	1505.26
234.93	1472.49
235.15	1349.61
235.36	1429.48
235.58	1458.15
235.79	1456.11
236.01	1390.57
236.22	1521.64
236.44	1515.50
236.65	1458.15
236.87	1497.07
237.08	1406.95
237.30	1439.72
237.52	1497.07
237.73	1398.76
237.95	1417.19
238.16	1366.00
238.38	1406.95
238.59	1415.15
238.81	1611.75
239.02	1480.68
239.24	1443.82
239.45	1466.35
239.67	1501.16
239.88	1464.30
240.10	1521.64
240.31	1546.22
240.53	1398.76
240.74	1433.58
240.96	1505.26
241.18	1464.30
241.39	1402.86
241.61	1374.19
241.82	1423.34
242.04	1499.11
242.25	1431.53
242.47	1466.35
242.68	1447.91
242.90	1474.54
243.11	1423.34
243.33	1464.30
243.54	1636.33
243.76	1425.39
243.97	1529.83
244.19	1464.30
244.40	1452.01
244.62	1447.91
244.83	1398.76
245.05	1386.47
245.26	1433.58
245.48	1439.72
245.69	1488.87
245.91	1474.54
246.12	1433.58
246.34	1443.82
246.55	1480.68
246.77	1431.53
246.98	1525.74
247.20	1447.91
247.41	1394.67
247.63	1423.34
247.84	1531.88
248.06	1546.22
248.27	1456.11
248.49	1507.30
248.70	1472.49
248.92	1423.34
249.13	1406.95
249.35	1447.91
249.56	1439.72
249.78	1435.63
249.99	1480.68
250.21	1431.53
250.42	1431.53
250.64	1464.30
250.85	1501.16
251.06	1572.84
251.28	1382.38
251.49	1472.49
251.71	1351.66
251.92	1484.78
252.14	1452.01
252.35	1374.19
252.57	1486.83
252.78	1507.30
253.00	1443.82
253.21	1359.85
253.43	1411.05
253.64	1456.11
253.86	1497.07
254.07	1378.28
254.28	1402.86
254.50	1513.45
254.71	1497.07
254.93	1390.57
255.14	1400.81
255.36	1482.73
255.57	1513.45
255.79	1433.58
256.00	1447.91
256.22	1535.98
256.43	1540.07
256.64	1581.03
256.86	1529.83
257.07	1392.62
257.29	1431.53
257.50	1335.28
257.72	1456.11
257.93	1316.84
258.15	1499.11
258.36	1320.94
258.57	1513.45
258.79	1464.30
259.00	1521.64
259.22	1472.49
259.43	1406.95
259.65	1464.30
259.86	1415.15
260.08	1341.42
260.29	1679.33
260.50	1431.53
260.72	1800.16
260.93	1386.47
261.15	1419.24
261.36	1458.15
261.58	1390.57
261.79	1449.96
262.00	1546.22
262.22	1591.27
262.43	1497.07
262.65	1415.15
262.86	1505.26
263.07	1456.11
263.29	1525.74
263.50	1480.68
263.72	1443.82
263.93	1482.73
264.15	1447.91
264.36	1447.91
264.57	1447.91
264.79	1546.22
265.00	1470.44
265.22	1447.91
265.43	1468.39
265.64	1435.63
265.86	1415.15
266.07	1480.68
266.29	1439.72
266.50	1482.73
266.71	1570.79
266.93	1456.11
267.14	1490.92
267.36	1466.35
267.57	1474.54
267.78	1456.11
268.00	1554.41
268.21	1509.35
268.43	1529.83
268.64	1406.95
268.85	1345.52
269.07	1460.20
269.28	1452.01
269.50	1423.34
269.71	1456.11
269.92	1480.68
270.14	1484.78
270.35	1415.15
270.56	1497.07
270.78	1415.15
270.99	1495.02
271.21	1431.53
271.42	1490.92
271.63	1456.11
271.85	1390.57
272.06	1452.01
272.27	1449.96
272.49	1456.11
272.70	1497.07
272.92	1521.64
273.13	1447.91
273.34	1505.26
273.56	1427.43
273.77	1521.64
273.98	1488.87
274.20	1466.35
274.41	1474.54
274.63	1417.19
274.84	1464.30
275.05	1452.01
275.27	1439.72
275.48	1468.39
275.69	1472.49
275.91	1505.26
276.12	1447.91
276.33	1415.15
276.55	1476.59
276.76	1435.63
276.97	1615.85
277.19	1415.15
277.40	1431.53
277.61	1435.63
277.83	1425.39
278.04	1499.11
278.26	1474.54
278.47	1511.40
278.68	1513.45
278.90	1456.11
279.11	1417.19
279.32	1492.97
279.54	1513.45
279.75	1423.34
279.96	1488.87
280.18	1427.43
280.39	1521.64
280.60	1417.19
280.82	1492.97
281.03	1431.53
281.24	1572.84
281.46	1556.46
281.67	1464.30
281.88	1382.38
282.10	1509.35
282.31	1382.38
282.52	1482.73
282.74	1406.95
282.95	1523.69
283.16	1466.35
283.37	1472.49
283.59	1447.91
283.80	1458.15
284.01	1490.92
284.23	1439.72
284.44	1423.34
284.65	1554.41
284.87	1423.34
285.08	1513.45
285.29	1492.97
285.51	1484.78
285.72	1415.15
285.93	1529.83
286.15	1490.92
286.36	1366.00
286.57	1431.53
286.78	1456.11
287.00	1499.11
287.21	1472.49
287.42	1374.19
287.64	1447.91
287.85	1443.82
288.06	1546.22
288.28	1525.74
288.49	1398.76
288.70	1482.73
288.91	1423.34
289.13	1505.26
289.34	1519.59
289.55	1437.67
289.77	1431.53
289.98	1513.45
290.19	1488.87
290.40	1443.82
290.62	1521.64
290.83	1427.43
291.04	1468.39
291.26	1382.38
291.47	1417.19
291.68	1482.73
291.89	1447.91
292.11	1546.22
292.32	1497.07
292.53	1535.98
292.74	1456.11
292.96	1480.68
293.17	1390.57
293.38	1538.02
293.60	1449.96
293.81	1433.58
294.02	1490.92
294.23	1456.11
294.45	1492.97
294.66	1525.74
294.87	1472.49
295.08	1441.77
295.30	1546.22
295.51	1447.91
295.72	1562.60
295.93	1517.54
296.15	1499.11
296.36	1492.97
296.57	1505.26
296.78	1486.83
297.00	1431.53
297.21	1460.20
297.42	1484.78
297.63	1411.05
297.85	1529.83
298.06	1464.30
298.27	1449.96
298.48	1488.87
298.70	1439.72
298.91	1669.09
299.12	1460.20
299.33	1562.60
299.55	1492.97
299.76	1392.62
299.97	1449.96
300.18	1368.04
300.40	1349.61
300.61	1488.87
300.82	1447.91
301.03	1449.96
301.24	1464.30
301.46	1456.11
301.67	1490.92
301.88	1417.19
302.09	1521.64
302.31	1390.57
302.52	1398.76
302.73	1538.02
302.94	1439.72
303.15	1427.43
303.37	1374.19
303.58	1464.30
303.79	1497.07
304.00	1546.22
304.22	1456.11
304.43	1538.02
304.64	1480.68
304.85	1437.67
305.06	1562.60
305.28	1472.49
305.49	1554.41
305.70	1480.68
305.91	1406.95
306.12	1505.26
306.34	1415.15
306.55	1406.95
306.76	1458.15
306.97	1619.94
307.18	1476.59
307.40	1488.87
307.61	1513.45
307.82	1474.54
308.03	1578.98
308.24	1540.07
308.46	1513.45
308.67	1574.89
308.88	1505.26
309.09	1638.38
309.30	1480.68
309.52	1499.11
309.73	1509.35
309.94	1402.86
310.15	1533.93
310.36	1490.92
310.57	1513.45
310.79	1538.02
311.00	1490.92
311.21	1433.58
311.42	1529.83
311.63	1566.70
311.85	1523.69
312.06	1490.92
312.27	1529.83
